trade_id,price,1,2,3,4,5,6
3796772,138161.20000000,0.00080000,3984625,3984625,1679875906899,True,True
3796773,138161.20000000,0.00030000,3984626,3984626,1679875937884,True,True
3796774,138161.20000000,0.07210000,3984627,3984627,1679876024514,False,True
3796775,138599.70000000,0.00110000,3984628,3984628,1679876960245,False,True
3796776,138495.00000000,0.00110000,3984629,3984629,1679877085881,True,True
3796777,138495.00000000,0.07110000,3984630,3984630,1679877109516,True,True
3796778,138323.10000000,0.02670000,3984631,3984631,1679877109655,True,True
3796779,138314.40000000,0.04440000,3984632,3984632,1679877109655,True,True
3796780,138472.10000000,0.00350000,3984633,3984633,1679878115231,False,True
3796781,138533.00000000,0.00100000,3984634,3984634,1679878211795,False,True
3796782,138538.20000000,0.00580000,3984635,3984635,1679878229560,False,True
3796783,138633.90000000,0.03430000,3984636,3984636,1679878829888,False,True
3796784,138548.30000000,0.00080000,3984637,3984637,1679879197309,True,True
3796785,138480.00000000,0.00080000,3984638,3984638,1679879210983,True,True
3796786,138161.20000000,0.00110000,3984639,3984639,1679879724457,True,True
3796787,138094.60000000,0.00090000,3984640,3984640,1679879751582,True,True
3796788,138007.80000000,0.00740000,3984641,3984641,1679879852257,False,True
3796789,137965.00000000,0.00740000,3984642,3984642,1679879859674,False,True
3796790,137961.10000000,0.00740000,3984643,3984643,1679879866505,False,True
3796791,137907.60000000,0.00110000,3984644,3984644,1679879872413,True,True
3796792,137961.10000000,0.00730000,3984645,3984645,1679879872914,False,True
3796793,137669.50000000,0.02300000,3984646,3984646,1679880069529,True,True
3796794,137654.10000000,0.00110000,3984647,3984647,1679880111896,True,True
3796795,137618.40000000,0.00090000,3984648,3984648,1679880112230,True,True
3796796,137669.50000000,0.05130000,3984649,3984649,1679880692654,True,True
3796797,137665.30000000,0.24770000,3984650,3984650,1679880692654,True,True
3796798,137618.40000000,0.06060000,3984651,3984651,1679880692663,False,True
3796799,137400.70000000,0.09350000,3984652,3984652,1679881688024,True,True
3796800,137400.70000000,0.01530000,3984653,3984653,1679881688024,True,True
3796801,137400.60000000,0.00110000,3984654,3984654,1679881717594,True,True
3796802,137360.40000000,0.07000000,3984655,3984655,1679881865446,True,True
3796803,137261.00000000,0.00800000,3984656,3984656,1679882378945,True,True
3796804,137406.70000000,0.00440000,3984657,3984657,1679882585494,False,True
3796805,137147.10000000,0.00110000,3984658,3984658,1679882660202,True,True
3796806,137142.30000000,0.00090000,3984659,3984659,1679882660240,True,True
3796807,137377.30000000,0.03570000,3984660,3984660,1679884900509,True,True
3796808,137433.40000000,0.02880000,3984661,3984661,1679885517802,False,True
3796809,137433.40000000,0.02880000,3984662,3984662,1679885517883,False,True
3796810,137433.40000000,0.02880000,3984663,3984663,1679885517949,False,True
3796811,137433.40000000,0.02880000,3984664,3984664,1679885518015,False,True
3796812,137582.30000000,0.00110000,3984665,3984665,1679886840192,False,True
3796813,137575.70000000,0.21330000,3984666,3984666,1679887078576,False,True
3796814,137575.70000000,0.00080000,3984667,3984667,1679887222148,False,True
3796815,137575.70000000,0.00370000,3984668,3984668,1679887386112,True,True
3796816,137471.50000000,0.05830000,3984669,3984669,1679887623499,True,True
3796817,137471.50000000,0.01450000,3984670,3984670,1679887644582,True,True
3796818,137307.00000000,0.01150000,3984671,3984671,1679887861122,True,True
3796819,137618.10000000,0.01010000,3984672,3984672,1679888610395,False,True
3796820,137618.10000000,0.01010000,3984673,3984673,1679888611334,False,True
3796821,137618.10000000,0.00080000,3984674,3984674,1679888721182,False,True
3796822,137539.50000000,0.05100000,3984675,3984675,1679888771442,True,True
3796823,137618.10000000,0.11320000,3984676,3984676,1679888866493,False,True
3796824,137618.10000000,0.03280000,3984677,3984677,1679888869587,False,True
